rule_id,category_no,category,title,auditd_rule,audit_key,description,cis_ref,disa_stig_ref,acsc_ism_alignment,form
26-09,26,Cron Configuration,Cronjobs,-w /var/spool/cron/ -p wa -k cronjobs,cronjobs,RHEL-09-654097,,RHEL-09-654097,CIS/STIG scheduled-task protection; ACSC/ISM persistence and administrative-change monitoring.,stig_canonical
27-01,27,systemd Service Persistence,Systemd,-w /etc/systemd/system/ -p wa -k systemd,systemd,,,,,code_block
27-02,27,systemd Service Persistence,Systemd,-w /usr/lib/systemd/system/ -p wa -k systemd,systemd,,,,,code_block
27-03,27,systemd Service Persistence,Service Management,-w /usr/bin/systemctl -p x -k service_management,service_management,,,,,code_block
28-01,28,Legacy Startup Persistence,Persistence,-w /etc/rc.d/rc.local -p wa -k persistence,persistence,,,,,code_block
28-02,28,Legacy Startup Persistence,Persistence,-w /etc/rc.local -p wa -k persistence,persistence,,,,,code_block
29-01,29,Shell Profile Persistence,Shell Config,-w /etc/profile -p wa -k shell_config,shell_config,,,,,code_block
29-02,29,Shell Profile Persistence,Shell Config,-w /etc/profile.d/ -p wa -k shell_config,shell_config,,,,,code_block
29-03,29,Shell Profile Persistence,Shell Config,-w /etc/bashrc -p wa -k shell_config,shell_config,,,,,code_block
30-01,30,Dynamic Linker Manipulation,Library Injection,-w /etc/ld.so.preload -p wa -k library_injection,library_injection,,,,,code_block
30-02,30,Dynamic Linker Manipulation,Library Config,-w /etc/ld.so.conf -p wa -k library_config,library_config,,,,,code_block
30-03,30,Dynamic Linker Manipulation,Library Config,-w /etc/ld.so.conf.d/ -p wa -k library_config,library_config,,,,,code_block
31-01,31,Package Management,Software Install,-w /usr/bin/rpm -p x -k software_install,software_install,,,,,code_block
31-02,31,Package Management,Software Install,-w /usr/bin/dnf -p x -k software_install,software_install,,,,,code_block
31-03,31,Package Management,Software Install,-w /usr/bin/yum -p x -k software_install,software_install,,,,,code_block
31-04,31,Package Management,Repository Config,-w /etc/yum.repos.d/ -p wa -k repository_config,repository_config,,,,,code_block
31-05,31,Package Management,Repository Config,-w /etc/dnf/ -p wa -k repository_config,repository_config,,,,,code_block
32-01,32,RPM Database,Package Database,-w /var/lib/rpm/ -p wa -k package_database,package_database,,,,,code_block
33-01,33,Security Software Changes,Security Tools,-w /etc/aide.conf -p wa -k security_tools,security_tools,AIDE,,,,code_block
33-02,33,Security Software Changes,Fapolicyd,-w /etc/fapolicyd/fapolicyd.conf -p wa -k fapolicyd,fapolicyd,fapolicyd,,,,code_block
33-03,33,Security Software Changes,Fapolicyd,-w /etc/fapolicyd/fapolicyd.rules -p wa -k fapolicyd,fapolicyd,fapolicyd,,,,code_block
33-04,33,Security Software Changes,Fapolicyd,-w /etc/fapolicyd/rules.d/ -p wa -k fapolicyd,fapolicyd,fapolicyd,,,,code_block
33-05,33,Security Software Changes,Fapolicyd,-w /usr/sbin/fapolicyd -p x -k fapolicyd,fapolicyd,fapolicyd,,,,code_block
33-06,33,Security Software Changes,Fapolicyd,-w /usr/sbin/fapolicyd-cli -p x -k fapolicyd,fapolicyd,fapolicyd,,,,code_block
34-01,34,AIDE Integrity Configuration,File Integrity,-w /etc/aide.conf -p wa -k file_integrity,file_integrity,,,,,code_block
34-02,34,AIDE Integrity Configuration,File Integrity,-w /etc/aide.conf.d/ -p wa -k file_integrity,file_integrity,,,,,code_block
35-01,35,Logging Configuration,Logging Config,-w /etc/rsyslog.conf -p wa -k logging_config,logging_config,rsyslog,,,,code_block
35-02,35,Logging Configuration,Logging Config,-w /etc/rsyslog.d/ -p wa -k logging_config,logging_config,rsyslog,,,,code_block
35-03,35,Logging Configuration,Logging Config,-w /etc/systemd/journald.conf -p wa -k logging_config,logging_config,journald,,,,code_block
35-04,35,Logging Configuration,Logging Config,-w /etc/systemd/journald.conf.d/ -p wa -k logging_config,logging_config,journald,,,,code_block
35-05,35,Logging Configuration,Logging Config,-w /etc/logrotate.conf -p wa -k logging_config,logging_config,logrotate,,,,code_block
35-06,35,Logging Configuration,Logging Config,-w /etc/logrotate.d/ -p wa -k logging_config,logging_config,logrotate,,,,code_block
36-01,36,Anti-Forensics Utilities,Anti Forensics,-w /usr/bin/shred -p x -k anti_forensics,anti_forensics,,,,,code_block
36-02,36,Anti-Forensics Utilities,Anti Forensics,-w /usr/bin/truncate -p x -k anti_forensics,anti_forensics,,,,,code_block
37-01,37,Process Execution,User Exec,"-a always,exit -F arch=b64 -S execve -F auid>=1000 -F auid!=unset -k user_exec",user_exec,,,,,code_block
37-02,37,Process Execution,User Exec,"-a always,exit -F arch=b32 -S execve -F auid>=1000 -F auid!=unset -k user_exec",user_exec,,,,,code_block
38-01,38,Root Command Execution,Root Command,"-a always,exit -F arch=b64 -S execve -F euid=0 -F auid>=1000 -F auid!=unset -k root_command",root_command,,,,,code_block
39-01,39,Direct Root Sessions,Root Session,"-a always,exit -F arch=b64 -S execve -F auid=0 -k root_session",root_session,,,,,code_block
40-01,40,Process Tracing / Debugging,Process Injection,"-a always,exit -F arch=b64 -S ptrace -k process_injection",process_injection,,,,,code_block
40-02,40,Process Tracing / Debugging,Process Injection,"-a always,exit -F arch=b32 -S ptrace -k process_injection",process_injection,,,,,code_block
41-01,41,Process Memory Access,Process Memory,"-a always,exit -F arch=b64 -S process_vm_readv,process_vm_writev -k process_memory",process_memory,,,,,code_block
42-01,42,Namespace Creation,Namespace,"-a always,exit -F arch=b64 -S unshare,setns -F auid>=1000 -F auid!=unset -k namespace",namespace,,,,,code_block
43-01,43,chroot,Chroot,"-a always,exit -F arch=b64 -S chroot -F auid>=1000 -F auid!=unset -k chroot",chroot,,,,,code_block
43-02,43,chroot,Chroot,"-a always,exit -F arch=b32 -S chroot -F auid>=1000 -F auid!=unset -k chroot",chroot,,,,,code_block
44-01,44,Reboot and Shutdown,System Shutdown,-w /usr/sbin/reboot -p x -k system_shutdown,system_shutdown,,,RHEL-09-654195 — `/usr/sbin/reboot`; RHEL-09-654200 — `/usr/sbin/shutdown`.,,code_block
44-02,44,Reboot and Shutdown,System Shutdown,-w /usr/sbin/shutdown -p x -k system_shutdown,system_shutdown,,,RHEL-09-654195 — `/usr/sbin/reboot`; RHEL-09-654200 — `/usr/sbin/shutdown`.,,code_block
44-03,44,Reboot and Shutdown,System Shutdown,-w /usr/sbin/poweroff -p x -k system_shutdown,system_shutdown,,,RHEL-09-654195 — `/usr/sbin/reboot`; RHEL-09-654200 — `/usr/sbin/shutdown`.,,code_block
45-01,45,Service Management and Splunk Forwarder,Service Management,-w /usr/bin/systemctl -p x -k service_management,service_management,,,,,code_block
45-02,45,Service Management and Splunk Forwarder,Splunk Config,-w /opt/splunkforwarder/etc/ -p wa -k splunk_config,splunk_config,For Splunk Universal Forwarder,,,,code_block
45-03,45,Service Management and Splunk Forwarder,Splunk Admin,-w /opt/splunkforwarder/bin/splunk -p x -k splunk_admin,splunk_admin,For Splunk Universal Forwarder,,,,code_block
46-01,46,Kernel Log Manipulation,Kernel Logs,-w /usr/bin/dmesg -p x -k kernel_logs,kernel_logs,,,,,code_block
48-01,48,DNS Configuration,Dns Config,-w /etc/resolv.conf -p wa -k dns_config,dns_config,,,,,code_block
48-02,48,DNS Configuration,Dns Config,-w /etc/hosts -p wa -k dns_config,dns_config,,,,,code_block
48-03,48,DNS Configuration,Dns Config,-w /etc/nsswitch.conf -p wa -k dns_config,dns_config,,,,,code_block
49-01,49,PKI and Trusted Certificates,Trusted Certificates,-w /etc/pki/ca-trust/ -p wa -k trusted_certificates,trusted_certificates,,,,,code_block
49-02,49,PKI and Trusted Certificates,Certificates,-w /etc/pki/tls/ -p wa -k certificates,certificates,,,,,code_block
49-03,49,PKI and Trusted Certificates,Trusted Certificates,-w /etc/pki/ca-trust/source/anchors/ -p wa -k trusted_certificates,trusted_certificates,,,,,code_block
50-01,50,SSH Host Keys,Ssh Host Keys,-w /etc/ssh/ssh_host_rsa_key -p wa -k ssh_host_keys,ssh_host_keys,,,,,code_block
50-02,50,SSH Host Keys,Ssh Host Keys,-w /etc/ssh/ssh_host_ecdsa_key -p wa -k ssh_host_keys,ssh_host_keys,,,,,code_block
50-03,50,SSH Host Keys,Ssh Host Keys,-w /etc/ssh/ssh_host_ed25519_key -p wa -k ssh_host_keys,ssh_host_keys,,,,,code_block
51-01,51,Broad `/etc` Changes,Etc Changes,-w /etc/ -p wa -k etc_changes,etc_changes,Possible broad rule,,,,code_block
52-01,52,Docker,Container Admin,-w /usr/bin/docker -p x -k container_admin,container_admin,,,,,code_block
52-02,52,Docker,Docker Config,-w /etc/docker/ -p wa -k docker_config,docker_config,,,,,code_block
52-03,52,Docker,Docker Config,-w /etc/docker/daemon.json -p wa -k docker_config,docker_config,,,,,code_block
53-01,53,Podman,Container Admin,-w /usr/bin/podman -p x -k container_admin,container_admin,,,,,code_block
53-02,53,Podman,Container Config,-w /etc/containers/ -p wa -k container_config,container_config,,,,,code_block
54-01,54,Container Runtime,Container Runtime,-w /usr/bin/crun -p x -k container_runtime,container_runtime,,,,,code_block
54-02,54,Container Runtime,Container Runtime,-w /usr/bin/runc -p x -k container_runtime,container_runtime,,,,,code_block
55-01,55,Kubernetes / OpenShift Node Security,Kubernetes,-w /etc/kubernetes/ -p wa -k kubernetes,kubernetes,,,,,code_block
55-02,55,Kubernetes / OpenShift Node Security,Kubernetes,-w /etc/kubernetes/manifests/ -p wa -k kubernetes,kubernetes,,,,,code_block
56-01,56,Sensitive File Access,Sensitive File,-w /etc/shadow -p rwa -k sensitive_file,sensitive_file,Example,,,,code_block
56-02,56,Sensitive File Access,Identity,-w /etc/shadow -p wa -k identity,identity,"For lower volume, prefer",,,,code_block
57-01,57,`/etc/security`,Security Policy,-w /etc/security/ -p wa -k security_policy,security_policy,,,,,code_block
58-01,58,Password Policy,Password Policy,-w /etc/security/pwquality.conf -p wa -k password_policy,password_policy,,,,,code_block
58-02,58,Password Policy,Password Policy,-w /etc/security/pwquality.conf.d/ -p wa -k password_policy,password_policy,,,,,code_block
58-03,58,Password Policy,Password Policy,-w /etc/login.defs -p wa -k password_policy,password_policy,,,,,code_block
59-01,59,Account Lockout,Authentication Policy,-w /etc/security/faillock.conf -p wa -k authentication_policy,authentication_policy,,,,,code_block
60-01,60,Crypto Policy,Crypto Policy,-w /etc/crypto-policies/ -p wa -k crypto_policy,crypto_policy,,,,,code_block
60-02,60,Crypto Policy,Crypto Policy,-w /usr/bin/update-crypto-policies -p x -k crypto_policy,crypto_policy,,,,,code_block
61-01,61,FIPS Configuration,Crypto Policy,-w /etc/system-fips -p wa -k crypto_policy,crypto_policy,,,,,code_block
62-01,62,Environment Configuration,Environment Config,-w /etc/environment -p wa -k environment_config,environment_config,,,,,code_block
63-01,63,Proxy Configuration,Proxy Config,-w /etc/profile.d/ -p wa -k proxy_config,proxy_config,,,,,code_block
63-02,63,Proxy Configuration,Proxy Config,-w /etc/environment -p wa -k proxy_config,proxy_config,,,,,code_block
64-01,64,Downloader Execution,Network Tools,-w /usr/bin/curl -p x -k network_tools,network_tools,,,,,code_block
64-02,64,Downloader Execution,Network Tools,-w /usr/bin/wget -p x -k network_tools,network_tools,,,,,code_block
65-01,65,Network Reconnaissance Utilities,Network Tools,-w /usr/bin/nc -p x -k network_tools,network_tools,,,,,code_block
65-02,65,Network Reconnaissance Utilities,Network Tools,-w /usr/bin/ncat -p x -k network_tools,network_tools,,,,,code_block
65-03,65,Network Reconnaissance Utilities,Remote Access,-w /usr/bin/ssh -p x -k remote_access,remote_access,,,,,code_block
65-04,65,Network Reconnaissance Utilities,Network Scan,-w /usr/bin/nmap -p x -k network_scan,network_scan,,,,,code_block
66-01,66,Compiler Execution,Compiler,-w /usr/bin/gcc -p x -k compiler,compiler,,,,,code_block
66-02,66,Compiler Execution,Compiler,-w /usr/bin/cc -p x -k compiler,compiler,,,,,code_block
66-03,66,Compiler Execution,Compiler,-w /usr/bin/make -p x -k compiler,compiler,,,,,code_block
67-01,67,Script Interpreter Execution,Interpreter,-w /usr/bin/python3 -p x -k interpreter,interpreter,,,,,code_block
67-02,67,Script Interpreter Execution,Interpreter,-w /usr/bin/perl -p x -k interpreter,interpreter,,,,,code_block
68-01,68,File Transfer Utilities,File Transfer,-w /usr/bin/scp -p x -k file_transfer,file_transfer,,,,,code_block
68-02,68,File Transfer Utilities,File Transfer,-w /usr/bin/sftp -p x -k file_transfer,file_transfer,,,,,code_block
68-03,68,File Transfer Utilities,File Transfer,-w /usr/bin/rsync -p x -k file_transfer,file_transfer,,,,,code_block
69-01,69,Archive Utilities,Archive,-w /usr/bin/tar -p x -k archive,archive,,,,,code_block
69-02,69,Archive Utilities,Archive,-w /usr/bin/zip -p x -k archive,archive,,,,,code_block
70-01,70,Base64 Execution,Encoding Tool,-w /usr/bin/base64 -p x -k encoding_tool,encoding_tool,,,,,code_block
71-01,71,Scheduled `at` Jobs,Scheduled Tasks,-w /var/spool/at/ -p wa -k scheduled_tasks,scheduled_tasks,,,,,code_block
71-02,71,Scheduled `at` Jobs,Scheduled Tasks,-w /etc/at.allow -p wa -k scheduled_tasks,scheduled_tasks,,,,,code_block
71-03,71,Scheduled `at` Jobs,Scheduled Tasks,-w /etc/at.deny -p wa -k scheduled_tasks,scheduled_tasks,,,,,code_block
72-01,72,Root Home Configuration,Root Config,-w /root/.bashrc -p wa -k root_config,root_config,,,,,code_block
72-02,72,Root Home Configuration,Root Config,-w /root/.bash_profile -p wa -k root_config,root_config,,,,,code_block
72-03,72,Root Home Configuration,Root Config,-w /root/.profile -p wa -k root_config,root_config,,,,,code_block
72-04,72,Root Home Configuration,Root Ssh,-w /root/.ssh/ -p wa -k root_ssh,root_ssh,,,,,code_block
73-01,73,Shell History Manipulation,Shell History,-w /root/.bash_history -p wa -k shell_history,shell_history,,,,,code_block
74-01,74,Immutable File Attributes,File Attributes,-w /usr/bin/chattr -p x -k file_attributes,file_attributes,,,,,code_block
74-02,74,Immutable File Attributes,File Attributes,-w /usr/bin/lsattr -p x -k file_attributes,file_attributes,,,,,code_block
75-01,75,Filesystem Creation,Filesystem Admin,-w /usr/sbin/mkfs -p x -k filesystem_admin,filesystem_admin,,,,,code_block
76-01,76,LVM / Storage Administration,Storage Admin,-w /usr/sbin/lvcreate -p x -k storage_admin,storage_admin,,,,,code_block
76-02,76,LVM / Storage Administration,Storage Admin,-w /usr/sbin/lvremove -p x -k storage_admin,storage_admin,,,,,code_block
76-03,76,LVM / Storage Administration,Storage Admin,-w /usr/sbin/vgcreate -p x -k storage_admin,storage_admin,,,,,code_block
76-04,76,LVM / Storage Administration,Storage Admin,-w /usr/sbin/vgremove -p x -k storage_admin,storage_admin,,,,,code_block
77-01,77,Swap Manipulation,Memory Admin,-w /usr/sbin/swapon -p x -k memory_admin,memory_admin,,,,,code_block
77-02,77,Swap Manipulation,Memory Admin,-w /usr/sbin/swapoff -p x -k memory_admin,memory_admin,,,,,code_block
78-01,78,Host Access Controls,Access Control,-w /etc/hosts.allow -p wa -k access_control,access_control,,,,,code_block
78-02,78,Host Access Controls,Access Control,-w /etc/hosts.deny -p wa -k access_control,access_control,,,,,code_block
79-01,79,Kerberos Configuration,Kerberos,-w /etc/krb5.conf -p wa -k kerberos,kerberos,,,,,code_block
79-02,79,Kerberos Configuration,Kerberos,-w /etc/krb5.conf.d/ -p wa -k kerberos,kerberos,,,,,code_block
80-01,80,SSSD Configuration,Identity Provider,-w /etc/sssd/ -p wa -k identity_provider,identity_provider,,,,,code_block
80-02,80,SSSD Configuration,Identity Provider,-w /etc/sssd/sssd.conf -p wa -k identity_provider,identity_provider,,,,,code_block
81-01,81,Red Hat IPA / IdM Client Configuration,Ipa Config,-w /etc/ipa/ -p wa -k ipa_config,ipa_config,,,,,code_block
81-02,81,Red Hat IPA / IdM Client Configuration,Ipa Config,-w /etc/krb5.conf -p wa -k ipa_config,ipa_config,,,,,code_block
81-03,81,Red Hat IPA / IdM Client Configuration,Ipa Config,-w /etc/sssd/ -p wa -k ipa_config,ipa_config,,,,,code_block
82-01,82,LDAP Configuration,Ldap Config,-w /etc/openldap/ -p wa -k ldap_config,ldap_config,,,,,code_block
83-01,83,Splunk Universal Forwarder Protection,Splunk Config,-w /opt/splunkforwarder/etc/system/local/ -p wa -k splunk_config,splunk_config,,,,,code_block
83-02,83,Splunk Universal Forwarder Protection,Splunk Config,-w /opt/splunkforwarder/etc/apps/ -p wa -k splunk_config,splunk_config,,,,,code_block
86-01,86,Key Management,Credentials,-w /etc/krb5.keytab -p wa -k credentials,credentials,Examples,,,,code_block
86-02,86,Key Management,Credentials,-w /etc/krb5.keytab -p rwa -k credentials,credentials,For high-value systems,,,,code_block
